Model,variable,Metric,Value
DCNN,si10,masked_rmse,0.9095467329025269
DCNN,si10,masked_psnr,33.128448486328125
DCNN,si10,masked_ssim,0.9349350333213806
DCNN,t2m,masked_rmse,0.8709461092948914
DCNN,t2m,masked_psnr,55.971256256103516
DCNN,t2m,masked_ssim,0.9996505975723267
DCNN,sh2,masked_rmse,0.0003488804504740983
DCNN,sh2,masked_psnr,41.0389404296875
DCNN,sh2,masked_ssim,0.9886086583137512
UNet,si10,masked_rmse,0.9852290153503418
UNet,si10,masked_psnr,32.4342041015625
UNet,si10,masked_ssim,0.9170445799827576
UNet,t2m,masked_rmse,0.5838002562522888
UNet,t2m,masked_psnr,59.44579315185547
UNet,t2m,masked_ssim,0.9998382329940796
UNet,sh2,masked_rmse,0.00031472061527892947
UNet,sh2,masked_psnr,41.93396759033203
UNet,sh2,masked_ssim,0.9921736717224121
SwinT2UNet,si10,masked_rmse,0.7931087613105774
SwinT2UNet,si10,masked_psnr,34.31829071044922
SwinT2UNet,si10,masked_ssim,0.9444825649261475
SwinT2UNet,t2m,masked_rmse,0.8226627707481384
SwinT2UNet,t2m,masked_psnr,56.46664047241211
SwinT2UNet,t2m,masked_ssim,0.9997804760932922
SwinT2UNet,sh2,masked_rmse,0.00038336028228513896
SwinT2UNet,sh2,masked_psnr,40.220333099365234
SwinT2UNet,sh2,masked_ssim,0.991452157497406
