Model,Experiment,Metric,Value
DCNN,no-additional-channels,masked_rmse,1.0253714323043823
DCNN,no-additional-channels,masked_psnr,35.513057708740234
DCNN,no-additional-channels,masked_ssim,0.9554734230041504
DCNN,orography,masked_rmse,1.0181859731674194
DCNN,orography,masked_psnr,35.57413864135742
DCNN,orography,masked_ssim,0.9564771056175232
DCNN,orography-si10,masked_rmse,1.021628499031067
DCNN,orography-si10,masked_psnr,35.54482650756836
DCNN,orography-si10,masked_ssim,0.9558253288269043
DCNN,orography-si10-t2m,masked_rmse,1.046290397644043
DCNN,orography-si10-t2m,masked_psnr,35.33763885498047
DCNN,orography-si10-t2m,masked_ssim,0.9535948038101196
DCNN,orography-si10-t2m-sh2,masked_rmse,1.0136303901672363
DCNN,orography-si10-t2m-sh2,masked_psnr,35.613094329833984
DCNN,orography-si10-t2m-sh2,masked_ssim,0.9582344889640808
UNet,no-additional-channels,masked_rmse,0.9250069856643677
UNet,no-additional-channels,masked_psnr,36.40778350830078
UNet,no-additional-channels,masked_ssim,0.964030921459198
UNet,orography,masked_rmse,0.9265560507774353
UNet,orography,masked_psnr,36.39324951171875
UNet,orography,masked_ssim,0.9644315242767334
UNet,orography-si10,masked_rmse,0.9146292805671692
UNet,orography-si10,masked_psnr,36.50578308105469
UNet,orography-si10,masked_ssim,0.9652734398841858
UNet,orography-si10-t2m,masked_rmse,0.9089775085449219
UNet,orography-si10-t2m,masked_psnr,36.55961990356445
UNet,orography-si10-t2m,masked_ssim,0.9653405547142029
UNet,orography-si10-t2m-sh2,masked_rmse,1.0656479597091675
UNet,orography-si10-t2m-sh2,masked_psnr,35.178409576416016
UNet,orography-si10-t2m-sh2,masked_ssim,0.950590193271637
SwinT2UNet,no-additional-channels,masked_rmse,0.9524523615837097
SwinT2UNet,no-additional-channels,masked_psnr,36.15381622314453
SwinT2UNet,no-additional-channels,masked_ssim,0.9624106884002686
SwinT2UNet,orography,masked_rmse,0.9575863480567932
SwinT2UNet,orography,masked_psnr,36.10712432861328
SwinT2UNet,orography,masked_ssim,0.9624242186546326
SwinT2UNet,orography-si10,masked_rmse,0.9443960189819336
SwinT2UNet,orography-si10,masked_psnr,36.22760009765625
SwinT2UNet,orography-si10,masked_ssim,0.9626471400260925
SwinT2UNet,orography-si10-t2m,masked_rmse,0.9402896165847778
SwinT2UNet,orography-si10-t2m,masked_psnr,36.26545333862305
SwinT2UNet,orography-si10-t2m,masked_ssim,0.9625852704048157
SwinT2UNet,orography-si10-t2m-sh2,masked_rmse,0.9308302998542786
SwinT2UNet,orography-si10-t2m-sh2,masked_psnr,36.353275299072266
SwinT2UNet,orography-si10-t2m-sh2,masked_ssim,0.9641741514205933
