Model,Experiment,Metric,Value
DCNN,no-additional-channels,masked_rmse,0.9980300664901733
DCNN,no-additional-channels,masked_psnr,35.7478141784668
DCNN,no-additional-channels,masked_ssim,0.9579741358757019
DCNN,orography,masked_rmse,0.9892771244049072
DCNN,orography,masked_psnr,35.82432174682617
DCNN,orography,masked_ssim,0.9590880274772644
DCNN,orography-si10,masked_rmse,0.9788186550140381
DCNN,orography-si10,masked_psnr,35.9166374206543
DCNN,orography-si10,masked_ssim,0.9605169296264648
DCNN,orography-si10-t2m,masked_rmse,0.9688454866409302
DCNN,orography-si10-t2m,masked_psnr,36.005592346191406
DCNN,orography-si10-t2m,masked_ssim,0.9605636596679688
DCNN,orography-si10-t2m-sh2,masked_rmse,0.9688966870307922
DCNN,orography-si10-t2m-sh2,masked_psnr,36.00513458251953
DCNN,orography-si10-t2m-sh2,masked_ssim,0.9645997881889343
UNet,no-additional-channels,masked_rmse,0.915624737739563
UNet,no-additional-channels,masked_psnr,36.49633026123047
UNet,no-additional-channels,masked_ssim,0.9647732973098755
UNet,orography,masked_rmse,0.9161990284919739
UNet,orography,masked_psnr,36.49089050292969
UNet,orography,masked_ssim,0.9647861123085022
UNet,orography-si10,masked_rmse,0.9039556980133057
UNet,orography-si10,masked_psnr,36.60773849487305
UNet,orography-si10,masked_ssim,0.9655941128730774
UNet,orography-si10-t2m,masked_rmse,0.8964536190032959
UNet,orography-si10-t2m,masked_psnr,36.68012619018555
UNet,orography-si10-t2m,masked_ssim,0.9659917950630188
UNet,orography-si10-t2m-sh2,masked_rmse,0.8941798210144043
UNet,orography-si10-t2m-sh2,masked_psnr,36.70218276977539
UNet,orography-si10-t2m-sh2,masked_ssim,0.9659696221351624
SwinT2UNet,no-additional-channels,masked_rmse,0.9763745665550232
SwinT2UNet,no-additional-channels,masked_psnr,35.9383544921875
SwinT2UNet,no-additional-channels,masked_ssim,0.9596937298774719
SwinT2UNet,orography,masked_rmse,0.9767910838127136
SwinT2UNet,orography,masked_psnr,35.93465042114258
SwinT2UNet,orography,masked_ssim,0.9597611427307129
SwinT2UNet,orography-si10,masked_rmse,0.9574710726737976
SwinT2UNet,orography-si10,masked_psnr,36.10816955566406
SwinT2UNet,orography-si10,masked_ssim,0.9606994390487671
SwinT2UNet,orography-si10-t2m,masked_rmse,0.9380609393119812
SwinT2UNet,orography-si10-t2m,masked_psnr,36.28606414794922
SwinT2UNet,orography-si10-t2m,masked_ssim,0.9632266759872437
SwinT2UNet,orography-si10-t2m-sh2,masked_rmse,0.935547947883606
SwinT2UNet,orography-si10-t2m-sh2,masked_psnr,36.309364318847656
SwinT2UNet,orography-si10-t2m-sh2,masked_ssim,0.9639241695404053
