Model,Experiment,Metric,Value
DCNN,50-random-stations,masked_rmse,1.303524374961853
DCNN,50-random-stations,masked_psnr,33.42830276489258
DCNN,50-random-stations,masked_ssim,0.9387505650520325
DCNN,75-random-stations,masked_rmse,1.156145691871643
DCNN,75-random-stations,masked_psnr,34.47043228149414
DCNN,75-random-stations,masked_ssim,0.946729302406311
DCNN,100-random-stations,masked_rmse,1.0820746421813965
DCNN,100-random-stations,masked_psnr,35.04553985595703
DCNN,100-random-stations,masked_ssim,0.9520590305328369
UNet,50-random-stations,masked_rmse,1.2741591930389404
UNet,50-random-stations,masked_psnr,33.6262092590332
UNet,50-random-stations,masked_ssim,0.9434568285942078
UNet,75-random-stations,masked_rmse,1.0639362335205078
UNet,75-random-stations,masked_psnr,35.1923713684082
UNet,75-random-stations,masked_ssim,0.956295907497406
UNet,100-random-stations,masked_rmse,0.9920229315757751
UNet,100-random-stations,masked_psnr,35.80024719238281
UNet,100-random-stations,masked_ssim,0.9605883359909058
SwinT2UNet,50-random-stations,masked_rmse,1.1871978044509888
SwinT2UNet,50-random-stations,masked_psnr,34.2402229309082
SwinT2UNet,50-random-stations,masked_ssim,0.9498600959777832
SwinT2UNet,75-random-stations,masked_rmse,1.1042883396148682
SwinT2UNet,75-random-stations,masked_psnr,34.86903381347656
SwinT2UNet,75-random-stations,masked_ssim,0.954512894153595
SwinT2UNet,100-random-stations,masked_rmse,1.035709023475647
SwinT2UNet,100-random-stations,masked_psnr,35.425926208496094
SwinT2UNet,100-random-stations,masked_ssim,0.957690417766571
