Model,Experiment,Metric,Value
DCNN,2018,masked_rmse,1.070044994354248
DCNN,2018,masked_psnr,35.142642974853516
DCNN,2018,masked_ssim,0.9516251683235168
DCNN,2018-2019,masked_rmse,1.0551728010177612
DCNN,2018-2019,masked_psnr,35.26421356201172
DCNN,2018-2019,masked_ssim,0.9532070755958557
DCNN,2018-2020,masked_rmse,1.0382319688796997
DCNN,2018-2020,masked_psnr,35.4047966003418
DCNN,2018-2020,masked_ssim,0.9546881914138794
UNet,2018,masked_rmse,0.9755685329437256
UNet,2018,masked_psnr,35.945526123046875
UNet,2018,masked_ssim,0.9596146941184998
UNet,2018-2019,masked_rmse,0.9527777433395386
UNet,2018-2019,masked_psnr,36.15085220336914
UNet,2018-2019,masked_ssim,0.9620330333709717
UNet,2018-2020,masked_rmse,0.9370812177658081
UNet,2018-2020,masked_psnr,36.295135498046875
UNet,2018-2020,masked_ssim,0.9630333185195923
SwinT2UNet,2018,masked_rmse,1.0294820070266724
SwinT2UNet,2018,masked_psnr,35.478309631347656
SwinT2UNet,2018,masked_ssim,0.9552053213119507
SwinT2UNet,2018-2019,masked_rmse,0.9811432361602783
SwinT2UNet,2018-2019,masked_psnr,35.896034240722656
SwinT2UNet,2018-2019,masked_ssim,0.9591424465179443
SwinT2UNet,2018-2020,masked_rmse,0.9698032736778259
SwinT2UNet,2018-2020,masked_psnr,35.99700927734375
SwinT2UNet,2018-2020,masked_ssim,0.9601272940635681
