Model,Experiment,Metric,Value
UNet,2018-2021,masked_rmse,0.8941798210144043
UNet,2018-2021,masked_psnr,36.70218276977539
UNet,2018-2021,masked_ssim,0.9659696221351624
UNet,2018-2020,masked_rmse,0.9097976684570312
UNet,2018-2020,masked_psnr,36.551788330078125
UNet,2018-2020,masked_ssim,0.96453857421875
UNet,2018-2019,masked_rmse,0.927302896976471
UNet,2018-2019,masked_psnr,36.386253356933594
UNet,2018-2019,masked_ssim,0.9632830619812012
UNet,2018,masked_rmse,0.9635034203529358
UNet,2018,masked_psnr,36.053619384765625
UNet,2018,masked_ssim,0.9606509804725647
